SDC Platform - Master API Inventory
Consolidated service-based API list discussed in the design session.
Authentication Service
POST /auth/login
POST /auth/logout
GET /auth/me
Profile Service
GET /profile
PATCH /profile
User Management Service
POST /users/developers
POST /users/mentors
GET /users
GET /users/{userId}
PATCH /users/{userId}
PATCH /users/{userId}/passout
DELETE /users/{userId}
Team Management Service
POST /teams
GET /teams
GET /teams/{teamId}
GET /teams/{teamId}/members
GET /teams/{teamId}/leader
GET /teams/{teamId}/mentors
PATCH /teams/{teamId}/leader
DELETE /teams/{teamId}
Team Member Service
POST /teams/{teamId}/members
DELETE /teams/{teamId}/members/{userId}
Mentor Assignment Service
POST /teams/{teamId}/mentors
DELETE /teams/{teamId}/mentors/{mentorId}
Project Management Service
POST /projects
GET /projects
GET /projects/{projectId}
GET /projects/{projectId}/teams
GET /projects/{projectId}/contributors
PATCH /projects/{projectId}/status
PATCH /projects/{projectId}/showcase
PATCH /projects/{projectId}/links
DELETE /projects/{projectId}
GET /projects/{projectId}/showcase
SRS Service
POST /projects/{projectId}/srs
GET /projects/{projectId}/srs
PATCH /projects/{projectId}/srs
POST /projects/{projectId}/srs/document
GET /projects/{projectId}/srs/document
DELETE /projects/{projectId}/srs/document
Module Service
POST /projects/{projectId}/modules
GET /projects/{projectId}/modules
GET /modules/{moduleId}
PATCH /modules/{moduleId}
PATCH /modules/{moduleId}/status
DELETE /modules/{moduleId}
Task Service
POST /tasks
GET /tasks
GET /tasks/{taskId}
PATCH /tasks/{taskId}
PATCH /tasks/{taskId}/assign
PATCH /tasks/{taskId}/status
DELETE /tasks/{taskId}
POST /tasks/{taskId}/comments
GET /tasks/{taskId}/comments
Submission Service
POST /tasks/{taskId}/submission
GET /submissions
GET /submissions/{submissionId}
Review Service
POST /projects/{projectId}/reviews
GET /projects/{projectId}/reviews
GET /submissions/{submissionId}/reviews
PATCH /reviews/{reviewId}
DELETE /reviews/{reviewId}
Progress Service
GET /projects/{projectId}/progress
GET /teams/{teamId}/progress
GET /users/{userId}/progress
POST /projects/{projectId}/progress-reports
GET /projects/{projectId}/progress-reports
GET /progress-reports/{reportId}
POST /progress-reports/{reportId}/feedback
Notice Service
POST /notices
GET /notices
GET /notices/{noticeId}
DELETE /notices/{noticeId}
POST /notices/{noticeId}/react
POST /notices/{noticeId}/reply
POST /notices/{noticeId}/acknowledge
GET /notices/{noticeId}/responses
Recruitment Service
POST /recruitment-drives
GET /recruitment-drives
GET /recruitment-drives/{id}
PATCH /recruitment-drives/{id}
DELETE /recruitment-drives/{id}
POST /recruitment-drives/{id}/apply
GET /applications
GET /applications/{id}
PATCH /applications/{id}/status
POST /applications/{id}/notes
GET /applications/{id}/notes
PATCH /notes/{noteId}
GET /applications/{applicationId}/resume
Interview Service
POST /interviews
GET /interviews
GET /interviews/{id}
PATCH /interviews/{id}
DELETE /interviews/{id}
POST /interviews/{id}/feedback
File Service
POST /files
GET /files/{fileId}
GET /files/{fileId}/download
PATCH /files/{fileId}
DELETE /files/{fileId}
Public Showcase Service
GET /public/home
GET /public/projects
GET /public/projects/featured
GET /public/projects/{projectId}
GET /public/projects/{projectId}/team
GET /public/developers
GET /public/developers/{userId}
GET /public/alumni
GET /public/mentors
GET /public/mentors/{mentorId}
GET /public/teams
GET /public/teams/{teamId}
GET /public/stats
GET /public/search
GET /public/recruitment
GET /public/recruitment/status
POST /public/contact
Analytics & Utility
GET /dashboard
GET /leaderboards/developers
GET /leaderboards/teams
GET /leaderboards/projects
GET /analytics/users/{userId}
GET /analytics/teams/{teamId}
GET /analytics/projects/{projectId}
GET /activities
GET /teams/{teamId}/activities
GET /my/progress
GET /my/statistics
GET /my/modules
GET /search
GET /audit/projects/{projectId}
GET /audit/users/{userId}
GET /audit/teams/{teamId}
GET /notifications
PATCH /notifications/{notificationId}/read
Summary
Total listed endpoints in this consolidated document: 137
